room,idx,original,translation,comments
0,30,You're already wearing it.,אתה כבר לובש את זה.,
0,31,The old oil lamp is empty inside.,מנורת השמן הישנה ריקה מבפנים.,
0,32,The glass bottle is already open.,בקבוק הזכוכית כבר פתוח.,
0,33,You pull a large piece of cloth out of the bottle.,אתה שולף חתיכת בד גדולה מהבקבוק.,
0,34,"If you wish to ride on the magic carpet, then just say so.","אם אתה רוצה לרכוב על השטיח הקסום, פשוט תגיד.",
0,35,The cage is covered.,הכלוב מכוסה.,
0,36,"After swallowing the magic sugar cube, you get a feeling of invincibility.","אחרי שבלעת את קוביית הסוכר הקסומה, אתה מרגיש בלתי מנוצח.",
0,38,"You try to place it around your neck, but it doesn't fit.","אתה מנסה לשים את זה סביב הצוואר, אבל זה לא מתאים.",
0,39,OK.,בסדר.,
0,40,You're welcome!,על לא דבר!,
0,41,You already have the goodies. They are right in the basket!,כבר יש לך את המטעמים. הם בדיוק בסל!,
0,43,The candle is already lit.,הנר כבר דולק.,
0,44,There is no way for you to light the candle.,אין לך דרך להדליק את הנר.,
0,45,You pucker up your lips and blow out the candle.,אתה מכווץ את השפתיים ומכבה את הנר.,
0,47,The tiara would better fit a daintier head than yours.,הנזר יתאים יותר לראש עדין משלך.,
0,49,Mmmmmm! The smoked ham was delicious! It sure hit the spot.,מממממ! בשר החזיר המעושן היה טעים! זה בדיוק מה שהיית צריך.,
0,56,You are now wearing the beautiful ruby ring.,אתה עכשיו לובש את טבעת הרובי היפה.,
0,59,The glittering bracelet is too small for your wrist.,הצמיד הנוצץ קטן מדי לפרק היד שלך.,
0,64,The oil lamp is empty. You cannot light it.,מנורת השמן ריקה. אתה לא יכול להדליק אותה.,
0,68,You put the bridle over your head. Nothing happens. Don't you feel silly?,אתה שם את הרסן על הראש. שום דבר לא קורה. אתה לא מרגיש טיפשי?,
0,69,You open the pretty birdcage and the nightingale swoops out. The bird is gone. You have nothing but an empty birdcage.,אתה פותח את הכלוב היפה והזמיר עף החוצה. הציפור נעלמה. נשאר לך רק כלוב ריק.,
0,72,"With a flourish, you fling the black cloak around your neck and fasten it.","בתנופה דרמטית, אתה זורק את הגלימה השחורה על הצוואר וקושר אותה.",
0,74,You place the silver cross and chain around your neck and wear it as a necklace.,אתה מניח את צלב הכסף והשרשרת סביב הצוואר ועונד אותם כשרשרת.,
0,76,"Hungrily, you eat the tasty chicken soup. Aaaaahhhh! You feel very satisfied. You throw away the useless empty pot.","עם תחושת רעב, אתה אוכל את מרק העוף הטעים. אאאאאההההה! אתה מרגיש מאוד שבע. אתה זורק את הסיר הריק חסר התועלת.",
0,78,The earrings were made for more delicate ears than yours.,העגילים מיועדות לאוזניים עדינות יותר משלך.,
0,82,Beware! The fairy's spell has worn off.,זהירות! הקסם של הפיה התפוגג.,
0,84,"You rub the Tiger's Eye stone on the front of the amulet, but nothing happens.","אתה משפשף את אבן עין הנמר על החלק הקדמי של הקמע, אבל שום דבר לא קורה.",
0,85,"You wave the bronze amulet in the air, but nothing happens.","אתה מנופף בקמע באוויר, אבל שום דבר לא קורה.",
0,86,"You murmur the word home. A tingling sensation envelops your body. You black out for a second ... when you come to, you see you are somewhere else!","אתה ממלמל את המילה ""הביתה"". תחושת עקצוץ עוטפת את גופך. אתה מתעלף לשנייה... כשאתה מתעורר, אתה רואה שאתה במקום אחר!",
0,88,"When you rub the tarnished brass lamp, you hear a POOOOFF and a genie appears! ""Master,"" he says, ""I leave a gift for you. A magic carpet!"" The genie then poofs back into the lamp.","כשאתה משפשף את מנורת הפליז הכהה, אתה שומע פוווווף וג'יני מופיע! ""אדוני,"" הוא אומר, ""אני משאיר לך מתנה. שטיח קסום!"" הג'יני אז נעלם בחזרה לתוך המנורה.",
0,89,"When you rub the lamp, you hear a loud POOOOFF and a genie magically appears. ""Master,"" he says, ""I leave a gift for you. A beautiful sword!"" The genie then disappears in a puff of smoke.","כשאתה משפשף את המנורה, אתה שומע פוווווף רם וג'יני מופיע. ""אדוני,"" הוא אומר, ""אני משאיר לך מתנה. חרב יפה!"" הג'יני אז נעלם בענן עשן.",
0,90,"Using your sleeve as a cloth you rub the lamp, causing the genie to appear again. ""Master,"" he says, ""I leave a gift for you. A leather bridle!"" The genie then pops back into the lamp.","אתה משתמש בשרוולך ומשפשף בכבדות את המנורה, וגורם לג'יני להופיע שוב. ""אדוני,"" הוא אומר, ""אני משאיר לך מתנה. רסן עור!"" הג'יני אז קופץ בחזרה לתוך המנורה.",
0,91,Nothing happens.,שום דבר לא קורה.,
0,92,You have two keys! Do you wish to look at the silver one or the gold one?,יש לך שני מפתחות! אתה רוצה להסתכל על הכסף או על הזהב?,
0,93,"Oh, no! The lamp has disappeared from your hands!",אוי לא! המנורה נעלמה מהידיים שלך!,
0,95,"With disappointment, you see that nothing happens.","באכזבה, אתה רואה ששום דבר לא קורה.",
0,96,"You look in the basket of goodies and see many good things to eat: cookies, fruit, crackers, and sandwiches.","אתה מסתכל בסל המטעמים ורואה הרבה דברים טעימים לאכול: עוגיות, פירות, קרקרים וכריכים.",
0,97,The basket of goodies is empty because you ate all of it.,סל המטעמים ריק כי אכלת את הכל.,
0,98,You'll have to specify which key you wish to look at.,תצטרך לציין באיזה מפתח אתה רוצה להסתכל.,
0,101,%s4,%s4,
0,116,Exit Game? (Y/N) ,לצאת מהמשחק? (כ/ל) ,
0,121,You see nothing special.,אתה לא רואה שום דבר מיוחד.,
0,122,You cannot get the %w2. At least not now!,אתה לא יכול לקחת את %w2. לפחות לא עכשיו!,
0,123,There is no reason to do that.,אין סיבה לעשות את זה.,
0,124,The %w2 doesn't appeal just now.,%w2 לא מעניין כרגע.,
0,125,No. That would just waste time.,לא. זה רק יבזבז זמן.,
0,126,You can try to go there.,אתה יכול לנסות ללכת לשם.,
0,127,That would be inappropriate at this time.,זה לא יהיה הולם בזמן הזה.,
0,128,Hello.,שלום.,
0,129,OK. %w2.,בסדר. %w2.,
0,130,You will have to find him yourself.,תצטרך למצוא אותו בעצמך.,
0,131,You will have to find her yourself.,תצטרך למצוא אותה בעצמך.,
0,132,You will have to find it yourself.,תצטרך למצוא את זה בעצמך.,
0,133,You are not carrying it.,אתה לא נושא את זה.,
0,138,There is nobody here but you!,אין כאן אף אחד מלבדך!,
0,139,You can't do that--at least not now!,אתה לא יכול לעשות את זה--לפחות לא עכשיו!,
0,140,Not right now!,לא עכשיו!,
0,141,You can't do that.,אתה לא יכול לעשות את זה.,
0,143,Just say what you wish to get.,פשוט תגיד מה אתה רוצה לקחת.,
0,144,You get no response from the %w2.,אתה לא מקבל תגובה מ%w2.,
0,145,"I don't understand ""%w1""","אני לא מבין את ""%w1""",
0,146,"I don't understand ""%w2""","אני לא מבין את ""%w2""",
0,147,"I don't understand ""%w3""","אני לא מבין את ""%w3""",
0,148,You're not able to ride the %w2 at this time.,אתה לא יכול לרכוב על %w2 בזמן הזה.,
0,150,Sierra,סיירה,
0,151,About KQ2,אודות מסע המלך 2,
0,152,Help     ,עזרה     ,
0,153,File,קובץ,
0,154,Save     <F5>,שמור     <F5>,
0,155,Restore  <F7>,טען  <F7>,
0,156,------------- ,------------- ,
0,157,Restart  <F9>,התחל מחדש  <F9>,
0,158,Quit  <Alt-Z>,צא  <Alt-Z>,
0,159,Action,פעולה,
0,160,Swim           =,שחה           =,
0,161,See Object  <F4>,רואה אובייקט  <F4>,
0,162,Inventory  <Tab>,מלאי  <Tab>,
0,163,Special,מיוחד,
0,164,Sound On/Off  <F2>,קול דלוק/כבוי  <F2>,
0,165,Color/BW  <Ctrl R>,צבע/שחור-לבן  <Ctrl R>,
0,166,Joystick  <Ctrl J>,ג'ויסטיק  <Ctrl J>,
0,167,Pause        <Esc>,השהה        <Esc>,
0,168,Speed,מהירות,
0,169,Normal ,רגיל ,
0,170,Slow   ,איטי   ,
0,171,Fast   ,מהיר   ,
0,172,Fastest,הכי מהיר,
0,173,King's Quest was designed by Roberta Williams.,מסע המלך נכתב על ידי רוברטה וויליאמס.,
2,1,You should do nothing with the fence!,לא כדאי לעשות כלום עם הגדר!,
2,2,You see a low white fence.,אתה רואה גדר לבנה נמוכה.,
3,1,The cozy cottage is located in a thick wood. A patio shades the front entrance and flowers adorn a window box.,הבקתה החמימה נמצאת ביער עבות. פטיו מצל על הכניסה הקדמית ופרחים מקשטים את מסגרת החלון.,
3,2,The door of the little cottage is closed.,הדלת של הבקתה הקטנה סגורה.,
3,3,The mailbox has the words Grandma's House on it.,על תיבת הדואר כתוב בית הסבתא.,
3,4,"You can see inside when you look through the window. It is hard to see any detail, though.",אתה יכול לראות פנימה כשאתה מסתכל דרך החלון. אבל קשה לראות פרטים.,
3,5,"You knock loudly on the door and hear a muffled, ""Come in.""","אתה דופק בחוזקה על הדלת ושומע בעמעום, ""יבוא""",
3,6,"Lo and behold, when you open the mailbox you see a basket of goodies!",הפתעה! כשאתה פותח את תיבת הדואר אתה רואה סל מטעמים!,
3,7,When you open the mailbox you see that it is empty.,כשאתה פותח את תיבת הדואר אתה רואה שהיא ריקה.,
3,8,The mailbox is empty.,תיבת הדואר ריקה.,
3,9,The mailbox is already open.,תיבת הדואר כבר פתוחה.,
3,10,The mailbox is already closed.,תיבת הדואר כבר סגורה.,
3,11,There is no need to do that. The door is unlocked.,אין צורך לעשות את זה. הדלת לא נעולה.,
3,12,You are too far away.,אתה רחוק מדי.,
3,13,OK.,בסדר.,
3,14,You should do nothing with the fence.,לא כדאי לעשות כלום עם הגדר.,
3,15,You see a low white fence.,אתה רואה גדר לבנה נמוכה.,
3,16,The mailbox is firmly attached to the post.,תיבת הדואר מחוברת חזק לעמוד.,
3,17,Where do you think it could be?,איפה אתה חושב שזה יכול להיות?,
3,18,You already have it.,כבר יש לך את זה.,
3,19,The mailbox is closed. You cannot look in it.,תיבת הדואר סגורה. אתה לא יכול להסתכל בה.,
3,20,The mailbox is empty.,תיבת הדואר ריקה.,
3,21,There is a basket of goodies in the mailbox.,יש סל מטעמים בתיבת הדואר.,
3,22,You see nothing special about the flower box.,אתה לא רואה שום דבר מיוחד באדנית הפרחים.,
4,1,You should do nothing with the fence.,לא כדאי לעשות כלום עם הגדר.,
4,2,You see a low white fence.,אתה רואה גדר לבנה נמוכה.,
5,1,There is no door around here.,אין דלת כאן בסביבה.,
5,2,This is an old monastery. The monks living here often help travelers in need.,זה מנזר עתיק. הנזירים שחיים כאן לעתים קרובות עוזרים לעוברי אורח במצוקה.,
5,3,"You can see inside when you look in the window. It is hard to see details, though.",אתה יכול לראות פנימה כשאתה מסתכל דרך החלון. אבל קשה לראות פרטים.,
5,4,There is no need to do that. The door is unlocked.,אין צורך לעשות את זה. הדלת לא נעולה.,
5,5,You are too far away to see in the window.,אתה רחוק מדי כדי לראות דרך החלון,
5,6,The bell atop the monastery is ringing merrily.,הפעמון של גג המנזר מצלצל בעליצות.,
5,7,You cannot take the bell.,אתה לא יכול לקחת את הפעמון.,
6,1,There are not many flowers around here.,אין הרבה פרחים כאן בסביבה.,
6,2,This is an old monastery. The monks living here often help travelers in need.,זה מנזר עתיק. הנזירים שחיים כאן לעתים קרובות עוזרים לעוברי אורח במצוקה.,
6,3,"You can see inside when you look in the window. It is hard to see details, though.",אתה יכול לראות פנימה כשאתה מסתכל דרך החלון. אבל קשה לראות פרטים.,
6,4,Have you nothing better to do than pick flowers?,אין לך שום דבר חיובי לעשות מאשר לקטוף פרחים?,
6,5,There is no need to do that. The door is unlocked.,אין צורך לעשות את זה. הדלת לא נעולה.,
6,6,The monastery door is made of very thick wood held together by iron bars.,דלת המנזר עשויה מעץ עבה מאוד המוחזק יחד בלוחות ברזל.,
6,7,It is not necessary to knock at a church door. All are welcome.,אין צורך לדפוק על דלת המנזר. כולם מוזמנים.,
6,8,Your arms are too short to reach the door from here!,הזרועות שלך קצרות מדי כדי להגיע לדלת מכאן!,
6,9,You are too far away to see in the window.,אתה רחוק מדי כדי להסתכל דרך החלון.,
7,1,There are many lovely pine and spruce trees near these mountains.,יש הרבה עצי אורן ואשוח מקסימים בסמוך להרים האלה.,
7,2,"The mountain range is wild and rugged. It would be impossible to cross, unless you could fly like a bird.","רכס ההרים פראי וסלעי. יהיה בלתי אפשרי לחצות אותו, אלא אם כן תוכל לעוף כמו ציפור.",
7,3,A deep chasm wanders off to the north.,תהום עמוקה נמשכת צפונה.,
10,1,What a lovely little lake! Its sparkling water looks so clean and fresh.,איזה אגם קטן ומקסים! המים הצלולים שלו נראים כל כך נקיים ומרעננים.,
10,2,Do you want to swim in the lake?,אתה רוצה לשחות באגם?,
10,3,There is no reason for you to obtain water. Why don't you just drink some water if you're really that thirsty?,אין סיבה שתקח מים. למה שלא תשתה קצת מים אם אתה באמת כל כך צמא?,
10,4,Ahhhhh! The clear lake water is so refreshing.,אאאאההההה! מי האגם הצלולים כל כך מרעננים.,
10,5,This lake is foul and stinking! It may be poisoned. All vegetation looks dead around it.,האגם הזה מצחין ומזוהם! אולי הוא מורעל. כל הצמחייה שסביבו נראית מתה.,
10,6,What a lovely little lake! Its sparkling water looks so clean and fresh.,איזה אגם קטן ומקסים! המים הצלולים נראים כל כך נקיים ומרעננים.,
13,1,This is a pretty little pond set among the trees. A group of boulders are reflected in the clear water.,זו בריכה קטנה ויפה בין העצים. קבוצת סלעים גדולים משתקפת במים הצלולים.,
13,2,There is a small opening at the base of one of the large boulders.,יש חור קטן בבסיס אחד הסלעים הגדולים.,
13,3,There is a glittering diamond and sapphire brooch lying on the ground in the opening between the rocks!,יש סיכת יהלום וספיר נוצצת על הקרקע בפתח בין הסלעים!,
13,4,There is nothing in the opening at the base of the rock.,אין שום דבר בפתח שבבסיס הסלע.,
13,5,You get the brooch.,אתה לוקח את הסיכה.,
13,6,You can't reach it from here!,אתה לא יכול להגיע אליה מכאן!,
13,7,It's not there.,זה לא שם.,
13,8,You can't see into the opening from where you are.,אתה לא יכול לראות פנימה אל תוך הפתח מהמקום שבו אתה נמצא.,
14,1,There are many lovely pine and spruce trees near these mountains.,יש הרבה עצי אורן ואשוח מקסימים ליד ההרים האלה.,
14,2,"The mountain range is wild and rugged. It would be impossible to cross, unless you could fly like a bird.","רכס ההרים פראי וסלעי. יהיה בלתי אפשרי לחצות אותו, אלא אם כן תוכל לעוף כמו ציפור.",
15,1,There is a large rock in the ocean a short way from shore. Small waves lap at the edges.,יש סלע גדול בים בסמוך לחוף. גלים קטנים נשברים עליו.,
15,2,Can you believe it! There is a mermaid reclining on a large rock offshore!,היית מאמין?! יש בת ים השוכבת על הסלע הגדול שבחוף!,
15,3,The mermaid has long flowing hair covering most of her upper body. The green scales on her fish tail are sparkling like emeralds as she slowly waves it back and forth. She beckons with her hand.,לבת הים יש שיער ארוך גולש המכסה את רוב החלק העליון של גופה. הקשקשים הירוקים על זנב הדג שלה נוצצים כמו אמרלדים כשהיא מנופפת בו באיטיות קדימה ואחורה. היא מחווה בידה.,
15,5,There is no room for you on this rock. It is occupied already.,אין מקום בשבילך על הסלע הזה. הוא כבר תפוס.,
15,6,Wrong move! You frightened the poor mermaid. She dives into the water and disappears.,מהלך שגוי! הבהלת את בת הים המסכנה. היא צוללת למים ונעלמת.,
15,7,The mermaid does not reply. She gives you a quizzical look and continues waving her fish tail.,בת הים לא עונה. היא נותנת לך מבט תוהה וממשיכה לנופף בזנב הדג שלה.,
15,8,Don't get too close! You might frighten her.,אל תתקרב יותר מדי! אתה עלול להבהיל אותה.,
15,9,Which treasure would you like to give to the mermaid?,איזה אוצר תרצה לתת לבת הים?,
15,10,"The mermaid gladly takes your treasure. In return, she summons forth from the sea a magic seahorse! Maybe you could ride it.","בת הים בשמחה לוקחת את האוצר שלך. בתמורה, היא מזמנת מהים סוס ים קסום! אולי תוכל לרכוב עליו.",
15,11,You graciously offer the beautiful bouquet of wildflowers to the mermaid. She loves the flowers! She then summons forth a magic seahorse! Maybe you could ride it.,אתה מציע בחן את זר פרחי הבר היפה לבת הים. היא אוהבת את הפרחים! בתגובה היא מזמנת סוס ים קסום! אולי תוכל לרכוב עליו.,
15,12,"You hand the rusty trident to the mermaid. Oh, no! She dives into the water and disappears with it! Now she's gone.",אתה נותן את הקלשון החלוד לבת הים. אוי לא! היא צוללת למים ונעלמת איתו! עכשיו היא נעלמה.,
15,13,It would be impossible for you to follow a mermaid in the ocean!,יהיה בלתי אפשרי בשבילך לעקוב אחרי בת הים כשהיא שוחה בים.,
15,14,She's not there.,היא לא שם.,
15,15,This is a larger than average seahorse! It has a little saddle attached to its back. The seahorse tosses its head expectantly.,זה סוס ים גדול יותר מהממוצע! יש לו אוכף קטן המחובר לגב שלו. סוס הים מטלטל את ראשו בציפייה.,
15,16,The magic seahorse is already here for your use.,סוס הים הקסום כבר כאן לשימושך.,
15,17,"Quick as a flash, it glides under the water with you on its back!","מהיר כברק, הוא גולש מתחת למים איתך על הגב!",
15,18,Do you wish to ride the magic seahorse?,אתה רוצה לרכוב על סוס הים הקסום?,
15,19,You gently pat the seahorse's nose.,אתה מלטף בעדינות את האף של סוס הים.,
15,20,Don't you know that seahorses can't talk!,אתה לא יודע שסוסי ים לא יכולים לדבר!,
15,21,You are too far away.,אתה רחוק מדי.,
15,22,The mermaid looks at your offering distastefully. She is not interested in it.,בת הים מסתכלת על המתנה שלך בסלידה. היא לא מעוניינת בזה.,
15,23,You must specify who you wish to give it to.,אתה חייב לציין למי אתה רוצה לתת את זה.,
15,24,You aren't carrying it.,אתה לא נושא את זה.,
18,1,The castle looks cold and forbidding. Two dark towers rise on either side of it. The castle is surrounded by deadly thorns and brambles.,הטירה נראית מאיימת ומפחידה. שני מגדלים אפלים מתנשאים משני צדדיה. הטירה מוקפת בקוצים וסבכים קטלניים.,
18,2,The heavy wooden door of the castle is closed.,דלת העץ הכבדה של הטירה סגורה.,
18,3,These ghostly apparitions guard an evil being lurking within the castle walls.,רוחות רפאים אלה שומרות על יצור מרושע הטמון בין חומות הטירה.,
18,4,There is a dark castle set in the middle of the dismal island. Thorns and brambles grow everywhere. The stink of the foul lake is oppressive.,יש טירה אפלה שמוקמה באמצע האי הקודר. קוצים וסבכים צומחים בכל מקום. הצחנה שעולה מהאגם המזוהם נוראית.,
18,5,There are two spooky ghosts guarding the door of the gloomy castle. This situation looks bad.,יש שתי רוחות רפאים מפחידות השומרות על דלת הטירה הקודרת. המצב הזה נראה רע.,
18,6,The two spirits are fooled by the black cloak and the large ruby ring that you are wearing. They slowly float away.... Maybe you remind them of someone else.,שתי הרוחות מוטעות על ידי הגלימה השחורה וטבעת הרובי הגדולה שאתה לובש. הן מרחפות משם לאט.... אולי אתה מזכיר להן מישהו אחר.,
18,7,The two spirits are afraid of the silver cross you are wearing around your neck. They slowly float away and disappear.,שתי הרוחות מפחדות מהצלב הכסוף שאתה עונד סביב הצוואר. הן מרחפות משם לאט ונעלמות.,
18,8,"Oh, no! The two spooks float toward you and enter your body. In a trance, you walk toward the thorn covered brambles.","אוי לא! שתי רוחות הרפאים מרחפות אליך ונכנסות לגוף שלך. בטראנס, אתה הולך לעבר הסבכים המכוסים קוצים.",
18,9,Are you kidding!? How do you capture a ghost??,אתה צוחק!? איך תופסים רוח רפאים??,
18,10,Don't you know that spooks are already dead?,אתה לא יודע שרוחות רפאים כבר מתות?,
18,11,When you speak to the ghosts they utter a mournful wail.,כשאתה מדבר אל הרוחות הן פולטות יללה עגומה.,
18,12,"When you knock on the wooden door of the castle, the sound echoes inside. There is no answer.","כשאתה דופק על דלת העץ של הטירה, הקול מהדהד בפנים. אין תשובה.",
18,13,The ghosts won't let you reach the door.,הרוחות לא נותנות לך להגיע לדלת.,
18,14,Your arms won't reach.,הזרועות שלך לא מגיעות.,
18,15,There are no trees on this island. Only brambles and thorns.,אין עצים באי הזה. רק סבכים וקוצים.,
18,16,The spooks want nothing but you gone!,רוחות הרפאים רוצות רק שתיעלם!,
18,17,"You rub and rub, but nothing happens!","אתה משפשף ומשפשף, אבל כלום לא קורה!",
18,18,Evil forces prevent you from doing that.,כוחות הרשע מונעים ממך לעשות את זה.,
20,7,This is a quaint little antique shop. There is a sign in the window.,זו חנות עתיקות קטנה וחמודה. יש שלט בחלון.,
20,8,"The sign says ""closed.""","השלט אומר ""סגור"".",
20,9,"The sign says ""open.""","השלט אומר ""פתוח"".",
20,10,"You can see inside when you look through the window. It is hard to tell details, though.",אתה יכול לראות פנימה כשאתה מסתכל דרך החלון. ובכל זאת קשה להבחין בפרטים.,
20,11,The door to the antique store is closed.,הדלת לחנות העתיקות סגורה.,
20,12,The antique store is closed. You cannot enter it.,חנות העתיקות סגורה. אתה לא יכול להיכנס אליה.,
20,13,"You could get caught for ""breaking and entering."" That would not be wise.","אתה עלול להיתפס על ""פריצה וחדירה"". זה לא יהיה חכם.",
20,14,You rap loudly on the door but get no reply.,אתה דופק בחוזקה על הדלת אבל לא מקבל תשובה.,
20,15,"You rap loudly on the door and hear a cheery, ""Come on in.""","אתה דופק בחוזקה על הדלת ושומע קול עליז ""הכנס, הכנס""",
20,16,You are too far away.,אתה רחוק מדי.,
20,17,You can't unlock the door. You don't have a key that fits.,אתה לא יכול לפתוח את הדלת. אין לך מפתח מתאים.,
21,1,You are looking at the back of a quaint little antique shop. It is yellow with a bright red roof. There are lovely curtains in the window.,אתה מסתכל על החלק האחורי של חנות העתיקות הקטנה והחמודה. היא צהובה עם גג אדום בוהק. יש וילונות יפים בחלון.,
21,2,"You can see inside when you look through the window. It is hard to tell details, though.",אתה יכול לראות פנימה כשאתה מסתכל דרך החלון. ובכל זאת קשה להבחין בפרטים.,
21,3,You could get caught for breaking and entering. That would not be wise.,אתה עלול להיתפס על פריצה וחדירה. זה לא יהיה חכם.,
21,4,You are too far away.,אתה רחוק מדי.,
21,5,The window does not open.,החלון לא נפתח.,
22,1,You notice a pretty clamshell lying on the sandy beach.,אתה מבחין בקונכייה יפה של רכיכה מונחת על החוף החולי.,
22,2,It is a beautiful sandy beach.,זהו חוף חולי ויפהפה.,
22,3,"When you pick up the clamshell, you see that there was a sparkling sapphire and diamond bracelet under it!","כשאתה מרים את הקונכייה, אתה רואה צמיד ספיר ויהלומים נוצץ מתחתיה!",
22,4,You can't reach it from here.,אתה לא יכול להגיע אליה מכאן.,
22,5,You open the clamshell and discover that it is empty. There is nothing special about it.,אתה פותח את הקונכייה ומגלה שהיא ריקה. אין בה שום דבר מיוחד.,
22,6,You need to get the clam first.,אתה צריך לקחת את הקונכייה קודם.,
22,7,There is a beautiful diamond and sapphire bracelet lying in the sand!,יש צמיד יהלומים וספיר יפהפה מונח בחול!,
22,8,OK.,בסדר.,
23,1,There is a stake leaning against a tree.,יש יתד נשען על עץ.,
23,2,You are too far away.,אתה רחוק מדי.,
23,3,OK.,בסדר.,
25,1,"The shrouded ghoul looks very frightening. His hands are little more than claws, and his face is completely hidden inside his hood.","האל-מת נראה מפחיד מאוד. ידיו רזות ומצומקות, והפנים שלו מוסתרות לחלוטין בתוך כיסוי הראש.",
25,2,The castle looks cold and forbidding. Two dark towers rise on either side of it. The castle is surrounded by deadly thorns and brambles.,הטירה נראית אפלה ומאיימת. שני מגדלים אפלים מתנשאים משני צדדיה. הטירה מוקפת בקוצים וסבכים קטלניים.,
25,3,There is a dark castle set in the middle of the dismal island. Thorns and brambles grow everywhere. The stink of the foul lake is oppressive.,יש טירה אפלה שמוקמה באמצע האי הקודר. קוצים וסבכים צומחים בכל מקום. צחנה נוראית עולה מן האגם המזוהם.,
25,4,This lake is foul and stinking! It may be poisoned. All vegetation looks dead around it.,האגם הזה דוחה ומצחין! הוא עלול להיות מורעל. כל הצמחייה סביבו נראית מתה.,
25,5,The small wooden rowboat looks rotted from exposure to the poisoned lake.,סירת העץ הקטנה נראית רקובה מחשיפה לאגם המורעל.,
25,6,You are too far away.,אתה רחוק מדי.,
25,7,You would be crazy to touch the thorns.,אתה עלול לחתוף הרעלה אם תגע בקוצים.,
25,8,The brambles are too thick for the sword to cut through!,הסבכים צפופים מדי מכדי שהחרב תחתוך דרכם!,
25,9,There are no trees on this island. Only brambles and thorns.,אין עצים באי הזה. רק סבכים וקוצים.,
25,10,There are no bushes on this island. Only poisoned brambles and thorns.,אין שיחים באי הזה. רק סבכים וקוצים מורעלים.,
25,11,Do you want to get back in the rowboat?,אתה רוצה לחזור לסירת העץ?,
25,12,"You climb into the decrepit rowboat, and the shrouded fiend paddles across the toxic lake to the shore.","אתה מטפס לסירת העץ הרעועה, והאל-מת חותר על פני האגם הרעיל אל החוף.",
25,13,You are greeted by stony silence from the frightening ghoul.,אתה מקבל תגובה אילמת מהאל-מת המפחיד.,
25,14,The ghoul will not let you take the boat.,האל-מת לא ייתן לך לקחת את הסירה.,
25,15,You can't kill something that is already dead.,אתה לא יכול להרוג מישהו שכבר מת.,
25,16,It is impossible to catch a ghoul.,זה בלתי אפשרי לתפוס אל-מת.,
25,17,You look longingly at the other side of the toxic lake.,אתה מסתכל בכמיהה לעבר הצד השני של האגם הרעיל.,
25,18,You are too far away.,אתה רחוק מדי.,
25,19,The silent fiend slowly shakes his head. He is not interested in it.,האל-מת השקט מנענע את ראשו לאט. הוא לא מעוניין בזה.,
28,7,The mountains are completely impassable.,ההרים לחלוטין בלתי עבירים.,
28,8,This is a forested area near an impassable cliff.,זה אזור מיוער ליד צוק בלתי עביר.,
