חדר,אינדקס,מקור,תרגום,הערות
0,83,"Ok, but this place does not meet the spell's requirements.","אוקי, אבל המקום הזה לא תואם את דרישות הכישוף.",
0,84,The cup is now empty.,הכוס כעת ריקה.,
0,85,You look cute.,אתה נראה חמוד.,
0,86,%m9 You decide it smells better than it tastes!,%m9 החלטת שזה מריח יותר טוב מהטעם של זה!,
0,87,"%m91%v118 days, %v117 hours, %v116 minutes and %v115 seconds.\n","%m91%v118 ימים, %v117 שעות, %v116 דקות ו- %v115 שניות.\n",
0,88,"%m91%v117 hours, %v116 minutes and %v115 seconds.\n","%m91%v117 שעות, %v116 דקות ו- %v115שניות.\n",
0,89,%m91%v116 minutes and %v115 seconds.\n,%m91%v116 דקות ו- %v115 שניות.\n,
0,90,"%m9 Ummmm, not bad.","%m9 המממ, לא רע.",
0,91,%m11\nYou've been playing for \n,%m11\nאתה משחק כבר \n,
0,92,You missed!,פספסת!,
0,93,You have %v63 gold coins.,יש לך %v63 מטבעות זהב.,
0,94,You can't buy that here.,אתה לא יכול לקנות את זה כאן.,
0,95,,,
0,96,You eat a few grains of salt.,אתה אוכל כמה גרגירי מלח.,
0,97,,,
0,98,,,
0,99,Is it lost?,זה אבד?,
0,100,The jar is empty.,הצנצנת ריקה.,
0,101,"As you remove the dough from your ears, it crumbles into dust and is lost!","כשאתה מסיר את הבצק מהאוזניים שלך, הוא מתפורר לאבק ונעלם!",
0,102,,,
0,103,There's not enough room to fly in here.,אין מספיק מקום לעוף כאן.,
0,104,,,
0,105,,,
0,106,,,
0,107,The urge to fly and soar has left%m110,הדחף לעוף עזב%m110,להבין איפה קיים במשחק
0,108,,,
0,109,The impulse to buzz around has vanished. You feel yourself growing bigger%m110,הדחף לזמזם נעלם. אתה מרגיש שאתה הולך וגדל%m110,
0,110,", so you head for what you hope is a safe place to land.",", אז אתה ניגש למה שאתה מקווה שהוא מקום בטוח לנחות בו.",
0,111,,,
0,112,Your magic essence is all gone.,תמצית הקסם שלך נגמרה.,
0,113,"""'Bye.""","""'ביי.""",
0,114,Fastest%m118,%m118 מהירה מאוד.,
0,115,Fast%m118,%m118 מהירה.,
0,116,Normal%m118,%m118 רגילה.,
0,117,Slow%m118,%m118 איטית.,
0,118, speed.,מהירות,
0,120,Joystick/Mouse <Ctrl-J>,ג'ויסטיק/עכבר <Ctrl-J>,
0,121,Sierra ,סיירה ,
0,122,About KQ3 ,אודות KQ3 ,
0,123,Help  <F1>,עזרה  <F1>,
0,124,File ,קובץ ,
0,125,Save     <F5>,שמור     <F5>,
0,126,Restore  <F7>,טען      <F7>,
0,127,-------------,-------------,
0,128,Restart  <F9>,אתחל     <F9>,
0,129,Quit  <Alt-Z>,יציאה <Alt-Z>,
0,130,Action ,פעולה ,
0,131,Inventory  <TAB>,מלאי    <TAB>,
0,132,See Object  <F4>,הבט בחפץ <F4>,
0,133,Special ,מיוחד ,
0,134,Sound On/Off       <F2>,קול פעיל/כבוי  <F2>,
0,135,Graphics Mode  <Ctrl-R>,מצב גרפיקה <Ctrl-R>,
0,136,Joystick       <Ctrl-J>,ג'ויסטיק   <Ctrl-J>,
0,137,Clock On/Off           ,הצג/הסתר שעון      ,
0,138,Pause Game             ,עצור משחק          ,
0,139,Speed ,מהירות ,
0,140,Normal       ,רגילה        ,
0,141,Slow         ,איטית        ,
0,142,Fast         ,מהירה        ,
0,143,Fastest      ,מהירה מאוד   ,
0,144,Change  <F10>,שנה     <F10>,
1,1,"You have entered the musty tower of the old wizard's house. A polished brass telescope is directed out a window. From here, Manannan spies upon the poor occupants of Llewdor.","נכנסת למגדל המעופש בביתו של המכשף הזקן. טלסקופ פליז מלוטש מופנה אל מחוץ לחלון. מכאן, מננן מרגל אחר השכנים העניים של לודור.",
1,2,You see nothing on the dusty floor but a dead fly.,אתה לא רואה שום דבר על הרצפה המאובקת מלבד זבוב מת.,
1,3,Manannan has the brass telescope pointed out a window. It is well polished. He uses the telescope to keep tabs on the citizenry of Llewdor.,מננן הפנה את טלסקופ הפליז אל מחוץ לחלון. הוא מלוטש היטב. הוא משתמש בטלסקופ כדי לעקוב אחר אזרחי לודור.,
1,4,You put your eye to the glass. It amazes you how near everything seems. You can even see squirrels climbing faraway trees. No wonder the wizard knows all activities in Llewdor.,אתה מניח עין על הזכוכית. זה מדהים אותך כמה הכל נראה קרוב. אתה יכול לראות אפילו סנאים מטפסים על עצים רחוקים. לא פלא שהמכשף מכיר את כל הפעילויות בלודור.,
1,5,"There are narrow, steep stairs leading downwards.",יש מדרגות צרות ותלולות המובילות מטה.,
1,6,You hope Manannan doesn't notice the floor needs sweeping.,אתה מקווה שמננן לא שם לב שהרצפה מלוכלכת וצריך לטאטא אותה,
1,7,"You pick up the dead fly and drop it into your hand. Disgustedly, you look at it. ""I don't want to carry around a dead fly,"" you think. Picking off its wings, you throw the rest away.","אתה מרים את הזבוב המת ומניח אותו על ידך. בגועל, אתה מסתכל עליו. ""אני לא רוצה לסחוב זבוב מת,"" אתה חושב. אתה לוקח לו את הכנפיים ונפטר מהשאר.",
1,8,You already took it.,כבר לקחת את זה.,
1,9,The old white-bearded wizard is peering through his telescope. He hasn't noticed you.,המכשף לבן-הזקן מציץ דרך הטלסקופ שלו. הוא לא שם לב אליך.,
1,10,The wizard wouldn't like that.,המכשף לא יאהב את זה.,
1,11,,,
1,12,,,
1,13,The big brass telescope is much too heavy for you to carry.,טלסקופ הפליז הגדול כבד מדי מכדי שתוכל לשאת אותו.,
1,14,,,
1,15,"You push and pull on the heavy brass telescope, but in vain. It's just too heavy for you.","אתה דוחף ומושך את טלסקופ הפליז הכבד, אבל לשווא. הוא פשוט כבד מדי בשבילך.",
1,16,"You see Manannan spying on the poor citizens of Llewdor. He grunts, clicks his tongue, and mutters to himself. He is spying so intensely, he hasn't noticed you.","אתה רואה את מננן מרגל אחר האזרחים העניים של לודור. הוא נוהם, מצקצק בלשונו וממלמל לעצמו. הוא מרגל בנמרצות, שהוא לא שם לב אליך.",
1,17,"""Those little devils! What are they doing?""","""השטנים הקטנים האלה! מה הם עושים?""",
1,18,"""They are going to regret this!""","""הם הולכים להתחרט על זה!""",
1,19,"""Very good, my little pets. You're doing well these days.""","""טוב מאוד, חיות המחמד הקטנות שלי. אתן מסתדרות היטב בימים אלה.""",
1,20,"""I can't believe they would do this! They know my rules!""","""אני לא מאמין שהם יעשו את זה! הם יודעים את החוקים שלי!""",
1,21,"""Well, I can see those wretches need my attention down there!""","""ובכן, אני רואה שהעלובים האלה צריכים את תשומת ליבי שם למטה!""",
1,22,"""Tsk, tsk. What a shame. And they seemed so obedient at first.""","""צוק, צוק. כמה חבל. והם נראו כל כך צייתנים בהתחלה.""",
1,23,,,
1,24,,,
1,25,,,
1,26,,,
1,27,You are not close enough.,אתה לא קרוב מספיק.,
2,1,You look at Manannan's elegant bed chamber. You see fine furnishings from a regal bed to a beautifully carved closet. You can't help but compare this handsome room to your own meager cubicle.,אתה מסתכל על חדר השינה האלגנטי של מננן. אתה רואה ריהוט משובח ממיטה מלכותית ועד ארון מגולף להפליא. אתה לא יכול שלא להשוות את החדר החתיך הזה לתא הדל שלך.,
2,2,The closet is fashioned of ornately carved mahogany.,הארון מעוצב מעץ מהגוני מגולף.,
2,3,"You see voluminous velvet robes, satin slippers, peaked hats, and soft linen gowns.","אתה רואה גלימות קטיפה נפוחות, נעלי בית מסאטן, כובעים מחודדים וחלוקי פשתן רכים.",
2,4,"Imperfections in the glass make your reflection wavy; nevertheless, your rags show up all too clearly. But, though in rags, your face is handsome and your body strong.","פגמים בזכוכית הופכים את ההשתקפות שלך לגלית; עם זאת, הסמרטוטים שאתה לובש מופיעים בצורה ברורה מדי. אבל, למרות שאתה לובש סמרטוטים, הפנים שלך יפות וגופך חזק.",
2,5,"You run a hand along the top of the closet. Suddenly, you touch something metallic. Grabbing it, you discover... a small brass key! What could it unlock?","אתה מעביר יד לאורך חלקו העליון של הארון. לפתע, אתה נוגע במשהו מתכתי. באוחזך בו, אתה מגלה... מפתח פליז קטן! מה הוא יכול לפתוח?",
2,6,You feel along the top of the closet. Your hand comes back dusty.,אתה מושיט את ידך לאורך חלקו העליון של הארון. ידך חוזרת מאובקת.,
2,7,Heavy velvet curtains drape the regal mahogany bed.,וילונות קטיפה כבדים מעטרים את מיטת המהגוני המלכותית.,
2,8,"Dropping to your hands and knees, you peer under the bed. There is absolutely nothing there.","צונח על ידיך וברכיך, אתה מציץ מתחת למיטה. אין שם שום כלום.",
2,9,The elegant dresser is made of mahogany. Its drawers are graced by beautiful gold knobs.,השידה האלגנטית עשויה מעץ מהגוני. המגירות שלה מעוטרות בידיות זהב יפות.,
2,10,There is nothing exciting on top of the dresser.,אין שום דבר מרגש על השידה.,
2,11,"%m34 Suddenly, your eye falls on something that does... a vial labeled ""Rose Petal Essence,"" which you eagerly take.","%m34 לפתע, העין שלך נופלת על משהו שכן... בקבוקון עם הכיתוב ""תמצית עלי ורדים"", שאתה לוקח בלהיטות.",
2,12,You are not close enough to reach the top of the closet.,אתה לא מספיק קרוב כדי להגיע לראש הארון.,
2,13,A beautiful rug adorns the floor. Its thick wool is woven into a colorful design.,שטיח יפה מעטר את הרצפה. הצמר העבה שלו שזור בעיצוב צבעוני.,
2,14,"You lift up the rug in several places and look under it. Sad to say, all you see is the dust you swept under there yesterday.","אתה מרים את השטיח בכמה מקומות ומסתכל מתחתיו. עצוב לומר, שכל מה שאתה רואה זה את האבק שטיטאת לשם אתמול.",
2,15,Ok.,אוקי.,
2,16,You hurriedly return the key to the top of the closet.,אתה מחזיר את המפתח לחלקו העליון של הארון בחיפזון.,
2,17,Manannan's bedroom window is always open. He likes fresh air.,חלון חדר השינה של מננן תמיד פתוח. הוא אוהב אוויר צח.,
2,18,"As comfortable as the bed looks, you have no interest in lying on the hateful wizard's bed.","עד כמה שהמיטה נראית נוחה, אין לך שום עניין לשכב על מיטת המכשף השנוא.",
2,19,Manannan is asleep on his great bed. His snores are so loud they rumble off the walls. Be quiet; you wouldn't want to disturb him.,מננן ישן על מיטתו הגדולה. הנחירות שלו כל כך חזקות שהן רועמות מהקירות. תהיה בשקט; לא היית רוצה להפריע לו.,
2,20,"You speak softly to the sleeping wizard. ""Hhrrummph!"" he grumbles sleepily, thumbing his nose as if at a fly. But, soon the snoring resumes again.","אתה מדבר בשקט אל המכשף הישן. ""הררמממף!"" הוא רוטן בישנוניות, מזיז את אפו כאילו הפריע לו זבוב. אבל, במהרה הנחירות חוזרות שוב.",
2,21,"This time your words awaken Manannan. A grumpy look comes to his face. ""Don't you have anything better to do, boy, than to come in MY bed chamber and wake me from my peaceful repose?""","הפעם המילים שלך מעירות את מננן. מבט זועף עולה על פניו. ""אין לך משהו טוב יותר לעשות, ילד, מאשר להיכנס לחדר השינה שלי ולהעיר אותי ממנוחתי השלווה?""",
2,22,"You try to be quiet, but an unfortunate squeak wakes Manannan. He turns in his bed, then sits up, staring angrily at you. ""You know you're to stay out of my things,"" he growls. ""I've no choice but to punish you for this.""","אתה מנסה להיות בשקט, אבל חריקה מצערת מעירה את מננן. הוא מסתובב במיטתו, ואז מתיישב, בוהה בך בכעס. ""אתה יודע שאתה צריך להתרחק מהדברים שלי,"" הוא נוהם. ""אין לי ברירה אלא להעניש אותך על כך.""",
2,23,The back of your hair looks cute.,החלק האחורי של השיער שלך נראה חמוד.,
2,24,"Wrinkling your nose in disgust, you throw the smelly contents of the chamber pot out the open window. What a way to make a living!","מקמט את אפך בגועל, אתה משליך את התוכן המסריח של סיר הלילה מהחלון הפתוח. איזו דרך להתפרנס!",
2,25,You already have it.,כבר יש לך את זה.,
2,26,,,
2,27,The beveled mirror appears wavy because of imperfections in the glass. %m41,המראה המשופעת נראית גלית בגלל פגמים בזכוכית. %m41,
2,28,"You're startled to discover an ancient parchment scroll. Its ink has faded, but it seems to be a map. Taking this treasure, you leave everything else exactly as it was.","אתה נבהל לגלות מגילת קלף עתיקה. הדיו שלה דהה, אך נראה שזו מפה. אתה לוקח את האוצר הזה ומשאיר את כל השאר בדיוק כפי שהיה.",
2,29,Manannan's chamber pot is on the floor beside his bed.,סיר הלילה של מננן נמצא על הרצפה ליד מיטתו.,
2,30,You tug at the rug for quite a while... before realizing you're standing on it!,אתה מושך בשטיח כמה רגעים... ואז מגלה שאתה בעצם עומד עליו!,
2,31,and wish you hadn't!!,ומצטער שהסתכלת!!,
2,32,You are not close enough.,אתה לא קרוב מספיק.,
2,33,A feeling of great relief spreads over you.,תחושת הקלה גדולה מתפשטת עליך.,
2,34,You find baubles and trinkets which do not interest you.,אתה מוצא תכשיטים זולים וחסרי ערך שלא מעניינים אותך.,
2,35,You look inside Manannan's chamber pot...,אתה מסתכל אל תוך סיר הלילה של מננן...,
2,36,"Quietly opening the drawer below the closet, you discover...","אתה פותח בשקט את המגירה מתחת לארון, ומגלה...",
2,37,"In the vanity drawer are many uninteresting items, although the wizard's hand mirror may come in handy. You grab it, then close the drawer.","במגירת האיפור יש הרבה פריטים לא מעניינים, אם כי מראת היד של המכשף עשויה להועיל. אתה לוקח אותה וסוגר את המגירה.",
2,38,You bang the drawer against your shins repeatedly. (Try backing up!),אתה דופק את המגירה בשוקיך שוב ושוב. (נסה לקחת תנופה!),
2,39,nothing that interests you.,שום דבר שמעניין אותך.,
2,40,%m2 There may be something metallic on its top.,%m2 ייתכן שיש משהו מתכתי מעליו.,
2,41,There is a small drawer in the front of the mahogany vanity.,יש מגירה קטנה בחזית שידת המהגוני.,
2,42,The carpet is too big and heavy to carry around.,השטיח גדול וכבד מדי מכדי לסחוב אותו.,
3,1,This hallway is on the second level of the old wizard's house. There are two stairways here. One goes up and the other leads down. An open doorway is to the north.,המסדרון הזה נמצא במפלס השני בבית המכשף הזקן. יש כאן שני גרמי מדרגות. אחד כלפי מעלה והשני מוביל למטה. יש פתח דלת בחלק הצפוני.,
3,2,"There are two sets of stairs here. The stairway leading upward is steep and narrow. The stairway going down is wider, but rather creaky.","יש כאן שני גרמי מדרגות. אלו שמובילות מעלה תלולות וצרות. המדרגות שמובילות מטה רחבות יותר, אך די חורקות.",
3,3,,,
3,4,,,
3,5,,,
3,6,There is a doorway leading into a room to the north.,יש פתח דלת המוביל לחדר בחלק הצפוני.,
3,7,,,
3,8,"Suddenly, you feel squishy and slimy, with an awful weight on your back. Your tentacled eyes swivel around to see your shell. OH, NO! He's turned you into a snail!","לפתע, אתה מרגיש בר-מעיכה וחלקלק, עם משקל נורא על גבך. עיני המחושים שלך מסתובבות כדי לראות את הקונכייה שלך. אוי לא! הוא הפך אותך לחילזון!",
4,1,"This is your own pitiful bed chamber. Compared to Manannan's fine room, yours is almost a cell. The bed is hard and uncomfortable with only a threadbare blanket and a small, flat pillow. The other furnishings are junk. But, as poor as it is, it's your own haven, as the wizard never enters it.","זהו חדר השינה המצער שלך. לעומת החדר המשובח של מננן, שלך הוא כמעט תא. המיטה קשה ולא נוחה עם שמיכה מרופטת אחת וכרית קטנה ושטוחה. שאר הריהוט ממש זבל. אך, עד כמה שהוא דל, זה מקלט משלך, מכיוון שהמכשף לעולם לא נכנס אליו.",
4,2,You are not close enough.,אתה לא קרוב מספיק.,
4,3,"The bed is nothing more than a cot, hard and cold, and is difficult to sleep on. Your pillow is small, flat, and made of old rags.","המיטה היא לא יותר מעריסה, נוקשה וקרה, וקשה לישון עליה. הכרית שלך קטנה, שטוחה ועשויה מסמרטוטים ישנים.",
4,4,You lean down and poke your head under the bed. You see nothing but cobwebs and dust.,אתה מתכופף ומציץ מתחת למיטה. אינך רואה דבר מלבד קורי עכביש ואבק.,
4,5,You bend down and peek under the bed. Your possessions are still safely hidden.,אתה מתכופף ומציץ מתחת למיטה. החפצים שלך עדיין מוסתרים בבטחה.,
4,6,"Your dresser is a piece of junk. It's full of nicks and scratches, and one drawer is completely missing.","השידה שלך היא חתיכת זבל. היא מלאה בחריצים ושריטות, ומגירה אחת חסרה לחלוטין.",
4,7,There is nothing you want there.,אין שם שום דבר שאתה רוצה.,
4,8,You hear a CLICK at the bedroom door. The old wizard has decided to free you by magically unlocking your door.,אתה שומע קליק בדלת של חדר השינה. המכשף הזקן החליט לשחרר אותך על ידי פתיחה קסומה של נעילת הדלת שלך.,
4,9,You have nothing of any interest in your dresser drawer.,אין לך שום עניין במגירת השידה שלך.,
4,10,"You look into the cracked mirror hanging on the wall. Your reflection shows a tall, handsome lad dressed in dirty rags.",אתה מסתכל במראה הסדוקה התלויה על הקיר. ההשתקפות שלך מראה בחור גבוה ונאה לבוש בסמרטוטים מלוכלכים.,
4,11,There's nothing under the bed.,אין כלום מתחת למיטה.,
4,12,You have always admired this lovely tapestry. It adds one of the few bright spots to this dreary house.,תמיד הערצת את שטיח הקיר המקסים הזה. הוא מוסיף את אחת מנקודות האור הבודדות לבית העגום הזה.,
4,13,"You lift the bottom of the tapestry and peer behind it. The wall is filled with cracks. You can see why Manannan would hang a tapestry here. (There are also dozens of charcoal- scribbled drawings, diagrams, maps, and notes to programmers, with the legend ""King's Quest IV,"" but you're uninterested in this, since you presently have your hands full with ""King's Quest III."") You lower the tapestry and smooth out the wrinkles.","אתה מרים את החלק התחתון של שטיח הקיר ומציץ מאחוריו. הקיר מלא סדקים. אתה יכול להבין מדוע מננן תלה פה שטיח. (יש גם עשרות רישומים משורבטים בפחם, דיאגרמות, מפות והערות למתכנתים, עם הכיתוב ""מסע המלך 4"", אבל זה לא מעניין אותך, מכיוון שכרגע ידיך מלאות עם ""מסע המלך 3."") אתה מוריד את השטיח ומחליק את הקמטים.",
4,14,"You twist the door knob on the bedroom door, but to your frustration, find it locked.","אתה מסובב את הידית של דלת חדר השינה, אך לתסכולך, מוצא שהיא נעולה.",
4,15,The door is already open.,הדלת כבר פתוחה.,
4,16,The door is already closed.,הדלת כבר סגורה.,
4,17,"You start to close the door, but, so as not to arouse the wizard's suspicions, you leave it open.","אתה מתחיל לסגור את הדלת, אבל, כדי לא לעורר את חשדותיו של המכשף, אתה משאיר אותה פתוחה.",
4,18,You don't have a key that unlocks this door. It seems you are at the mercy of the miserable old wizard.,אין לך מפתח שפותח את הדלת הזו. נראה שאתה נתון לחסדיו של המכשף הזקן העלוב.,
4,19,The door is not locked. It's not even closed!,הדלת לא נעולה. היא אפילו לא סגורה!,
4,20,You have nothing with which to pick a lock.,אין לך שום דבר לפריצת מנעול.,
4,21,How can you see it through your bedroom wall?,איך אתה יכול לראות את זה דרך קיר חדר השינה שלך?,
4,22,"You throw your body against the locked door, but in vain. The door is too strong for you to break.","אתה זורק את גופך על הדלת הנעולה, אך לשווא. הדלת חזקה מדי מכדי שתוכל לשבור אותה.",
4,23,That would do you no good. The wizard anticipated your escape and placed iron bars outside your window.,זה לא יעשה לך טוב. המכשף צפה את הבריחה שלך והציב מוטות ברזל מחוץ לחלון שלך.,
4,24,You get on your hands and knees and quickly shove all your possessions under the bed. They will be safe from the wizard's sharp eyes there.,אתה יורד על ידיך וברכיך ודוחף במהירות את כל רכושך מתחת למיטה. שם הוא יהיה בטוח מעיניו החדות של המכשף.,
4,25,"Dropping to your knees, you reach under the bed and retrieve all of your possessions.","יורד על ברכיך, אתה מושיט יד אל מתחת למיטה ולוקח את כל רכושך.",
4,26,"You lie down on your hard bed, stretch, then curl up, trying hard to get comfortable. Your thin blanket and small pillow do not help much.","אתה נשכב על מיטתך הקשה, מתמתח, ואז מתכרבל, מנסה למצוא תנוחה נוחה. השמיכה הדקה והכרית הקטנה שלך לא עוזרות הרבה.",
4,27,Shhhh! You're trying to sleep.,ששש! אתה מנסה לישון.,
4,28,"You gratefully rise from your hard old bed, stretching your aching muscles.","אתה קם בהכרת תודה מהמיטה הקשה והישנה שלך, מותח את השרירים הכואבים שלך.",
4,29,The door is closed.,הדלת סגורה.,
4,30,You suddenly find yourself in your own little room. You notice that the door is closed.,אתה לפתע מוצא את עצמך בחדרך הקטן. אתה שם לב שהדלת סגורה.,
4,31,"You might try that over there in your bedroom, but not here in the hall.","אולי תנסה את זה שם בחדר השינה שלך, אבל לא כאן במסדרון.",
4,32,"Obviously, you have nothing to hide, Gwydion!","בלי ספק, אין לך מה להסתיר, גווידיון!",
4,33,"The hallway is uninteresting, except for the tapestry on the wall.","המסדרון לא מעניין, חוץ מהשטיח שעל הקיר.",
4,34,You get on your hands and knees and shove it under the bed. It will be safe from the wizard's sharp eyes there.,אתה יורד על ידיך וברכיך ודוחף את זה מתחת למיטה. זה יהיה בטוח שם מעיניו החדות של המכשף.,
4,35,"Dropping to your knees, you reach under the bed and retrieve it.","יורד על ברכיך, אתה מושיט יד מתחת למיטה ולוקח את זה.",
4,36,"You drop down, reach under the bed, and then realize you've never put it there!","אתה יורד למטה, מושיט יד מתחת למיטה, ואז מבין שמעולם לא שמת את זה שם!",
4,37,The door is wide open.,הדלת פתוחה לרווחה.,
4,38,"You consider removing the dough pieces from your ears, but decide they are too fragile. You carefully comb your scraggly hair over them so the wizard cannot detect them.","אתה שוקל להסיר את חלקי הבצק מהאוזניים שלך, אך מחליט שהם עדינים מדי. אתה מסרק בקפידה את שיערך השחור מעליהם כך שהמכשף לא יבחין בהם.",
5,1,"Manannan is very private with his study, and doesn't like you poking around. The huge oak desk is covered with his writing implements. An oak cabinet is in the corner. There is a chart on the rear wall. The bookshelves are filled with books on every subject; the wizard fancies himself to be quite a scholar.","מננן מאוד שמרן עם חדר העבודה שלו, ולא אוהב שאתה מסתובב שם. שולחן הכתיבה הענק מעץ אלון מכוסה בכלי הכתיבה שלו. ארון עץ אלון נמצא בפינה. יש תרשים על הקיר האחורי. מדפי הספרים מלאים בספרים בכל נושא; המכשף רואה את עצמו כאדם משכיל.",
5,2,You already have it.,כבר יש לך את זה.,
5,3,You are not close enough.,אתה לא קרוב מספיק.,
5,4,"The massive desk is made from oak. The wizard does all of his reading, writing, and calculating here.","שולחן העבודה המאסיבי עשוי מעץ אלון. המכשף עושה כאן את כל הקריאה, הכתיבה והחישוב שלו.",
5,5,"The desk is covered with the wizard's writing implements: quill pens, jars of oak bark ink, and parchment paper. Manannan is a prolific writer, recording his many ideas and formulas.","השולחן מכוסה בכלי הכתיבה של המכשף: עטי נוצה, צנצנות דיו מקליפת עץ אלון ונייר פרגמנט. מננן הוא סופר פורה, המתעד את רעיונותיו ונוסחאותיו הרבות.",
5,6,"You open the large desk's only drawer; but, you see nothing interesting. Before you're caught, you close it.","אתה פותח את המגירה היחידה בשולחן הגדול; אבל, אתה לא רואה שום דבר מעניין. לפני שתיתפס, אתה סוגר אותה.",
